nct_id,description
NCT04978701,"Recent studies have found a close relationship between acute ischemic stroke(AIS) and gut microbiota, but whether the dynamic changes in human microbiome after stroke can predict poor prognosis of stroke remains unclear. Therefore, we planned to explore the predictive value of human microbiome and its metabolites in stroke prognosis through a multicenter cohort study"
NCT04542083,"The COVID-19 pandemic has had dramatic effects on health systems and on non-COVID health care.

Using French inpatient claims data and retrospectively collected clinical data, the investigators will assess the changes in hospital admissions for acute cardiovascular and neurovascular conditions in France during and after the national lockdown."
NCT04344626,"Refractory epilepsy, meaning epilepsy that no longer responds to medication, is a common neurosurgical indication in children. In such cases, surgery is the treatment of choice. Complete resection of affected brain tissue is associated with highest probability of seizure freedom. However, epileptogenic brain tissue is visually identical to normal brain tissue, complicating complete resection. Modern investigative methods are of limited use.

An important subjective assessment during surgery is that affected brain tissue feels stiffer, however there is presently no way to determine this without committing to resecting the affected area. It is hypothesized that intra-operative use of a tonometer (Diaton) will identify abnormal brain tissue stiffness in affected brain relative to normal brain. This will help identify stiffer brain regions without having to resect them.

The objective is to determine if intra-operative use of a tonometer to measure brain tissue stiffness will offer additional precision in identifying epileptogenic lesions.

In participants with refractory epilepsy, various locations on the cerebral cortex will be identified using standard pre-operative investigations like magnetic resonance imagin (MRI) and positron emission tomography (PET). These are areas of presumed normal and abnormal brain where the tonometer will be used during surgery to measure brain tissue stiffness. Brain tissue stiffness measurements will then be compared with results of routine pre-operative and intra-operative tests. Such comparisons will help determine if and to what extent intra-operative brain tissue stiffness measurements correlate with other tests and help identify epileptogenic brain tissue.

24 participants have already undergone intra-operative brain tonometry. Results in these participants are encouraging: abnormally high brain tissue stiffness measurements have consistently been identified and significantly associated with abnormal brain tissue.

If the tonometer adequately identifies epileptogenic brain tissue through brain tissue stiffness measurements, it is possible that resection of identified tissue could lead to better post-operative outcomes, lowering seizure recurrences and neurological deficits."
NCT02795962,"To evaluate the hypothesis that direct transfer to an Endovascular Stroke Center, compared to transfer to the closest Local Stroke Center, offers a better outcome in the distribution of the modified Rankin Scale scores at 90 days in acute ischemic stroke patients with clinically suspected Large Vessel Occlusion identified by Emergency Medical Services (EMS)."
NCT05121415,"To search for a genetic marker of hemorrhagic stroke complicating severe eclampsia, a single nucleotide polymorphism (SNP) analysis of DNA obtained from the peripheral blood of patients with hemorrhagic stroke and normal control will be performed."
NCT03329417,"In the proposed study, the investigators assumed that mirror therapy combined with virtual reality technology will provide a better treatment effects than traditional mirror therapy for the patients with unilateral stroke. The aim of the study is to examine the difference in the treatment effects among the combination of task-oriented training with either virtual reality based mirror therapy, mirror therapy or traditional occupational therapy on the upper extremity function and brain activity of the stroke patients."
NCT01928641,"Intravenous tissue plasminogen activator (IV t-PA) is the only proven treatment of hyperacute cerebral infarction. The outcome of this treatment highly depends on the time from symptom onset to the administration of thrombolytic agent. Last known normal time is widely used as the standard to determine the symptom onset. These stroke symptoms are usually caused by a sudden decrease in cerebral blood flow related with an embolic or thrombotic event. However, in some cases various symptoms may occur one after another.

Myocardial infarction is also caused by a sudden caseation of blood flow. The symptom of myocardial infarction usually contains chest pain, and it is easy to identify the exact time of onset. In contrast, cerebral infarction may cause various symptoms according to the infarcted area of the brain, and sometimes multiple symptoms are presented in rapid succession. Therefore, it may be much unclear and uncertain to determine the onset time of cerebral infarction. Despite the importance of onset time in therapeutic decision making, there was no study focusing on the certainty of onset time in cerebral infarction patients.

In this study, we will investigate the subjective certainty of patient about the onset time in clear-onset cerebral ischemia. The discrepancy in diagnosing the onset time will be analyzed among the clinicians involved in the practice. Then, the factors associated with this uncertainty will be verified."
NCT04337255,"To test the effects of a 2- to 3-year intervention of the MIND diet versus usual post-stroke care on cognitive decline, the characteristic feature of dementia, and on brain biomarkers of Alzheimer's Disease (AD) and vascular disease in a Phase Ill randomized controlled trial of 500 patients hospitalized for acute ischemic stroke, aged 55-80 years and without dementia who are discharged home following hospitalization."
NCT04330872,Uncertainty remains regarding the impact of enteric-coated (EC) aspirin as it relates to the reduction of CV risk. We hypothesize that EC formulation based on the previous report may blunt aspirin response as evidenced by reduced Thromboxane A2 (TXA 2) levels in diabetic patients.
NCT04054739,Effects of robot-assisted gait training on cortical activity and gait function in hemiparetic stroke
NCT04331457,"Stroke can be defined as an abrupt loss of brain function that is caused by decreased cerebral blood flow.

Stroke can occur at all stages of life, but presentation is variable depending on age, involved artery, and underlying risk factors."
NCT04326205,"Mirror therapy (MT) has been demonstrated, in terms of neuroplasticity, to improve sensorimotor function of paretic upper extremity (UE) in chronic stroke patients. Central and peripheral electrical stimulation techniques such as ranscranial direct current stimulation (tDCS) and functional electrical stimulation (FES) can individually enhance effects of MT, combining both of them with MT can be a potentially valuable approach to maximize neural and functional recovery post stroke. To our knowledge, no studies combined central and peripheral neural network reorganization technique with motor behavioral learning approach to investigate its possible benefit after stroke. This project will be the first to design a ""dual neurotechnology-aided MT (DNA-MT)"", which combines tDCS and FES with contemporary neurorehabilitation approaches (i.e., MT) to stimulate both central and peripheral nervous systems to maximize neural and functional recovery post stroke. Investigators will determine the efficacy and neurophysiological and motor mechanisms related to this novel DNA-MT approach and identify potential responders to this novel intervention."
NCT04321512,"The purpose of this research study is to discover the functions of circulating white blood cells, called monocytes, and associated circulating substances in heart attack and ischemic stroke patients. Ischemic Strokes (clots) occur as a result of an obstruction within a blood vessel supplying blood to the brain. A type of monocyte carrying a surface marker called ""P2X4"" helps the immune system sense and respond to danger signals from the body such as heart muscle and brain tissue injuries.

The researchers expect to learn more about how these monocyte cells react to heart and brain tissue injury, and how the cells may then produce proteins or other chemical substances which promote the healing of heart muscle after heart attack and brain tissue after an ischemic stroke."
NCT04318626,"Background and objects： Neuroinflammation is an active process detectable in the earliest stages of the neurodegeneration pathway. On the other hand, significant neuroinflammation, such as reactive astrocytosis, can also be observed after cerebral ischemic injury. [18F]THK5351 can monitor the neuroinflammatory process due to its high affinity to astrogliosis, and [18F]PMPBB3 is the novel tau protein radiotracer without significant off-target binding to MAO-B. The investigators hypothesize that the neuroinflammation after acute stroke may induce the tau protein accumulation. In the current proposal, our aims are to 1) explore the interaction between neuroinflammation and tau protein accumulation in acute stroke patients by applying both the [18F]PMPBB3 and [18F]THK5351 PET images and 2) determine their influence on the longterm stroke outcome and cognitive performance.

Method： The prospective project plans to recruit 2 groups of participants: one is patients with first-ever acute stroke (Group A, n=50), and the other is healthy people as the control group (Group B, n=30). Within 3 weeks of stroke, [18F]THK5351 and [18F]PMPBB3 PET will be done for imaging cerebral neuroinflammation and tau protein distribution. Brain MRI for obtaining structural and functional information will be done within 3 weeks and 3 months after stroke. Clinical and cognitive outcome will be evaluated at week 3 and months 3 and 12. In addition, APOE genotyping and carotid ultrasound will be performed as well. By obtaining the neuroimaging information, such as severity of white matter change and infarction, cortical and hippocampal atrophy, and SUVRs of [18F]THK5351 and [18F]PMPBB3 PET, the study will be able to investigate the complex interaction between neuroinflammation and tau protein accumulation after stroke, and also evaluate their influence on structural changes, stroke outcome and cognitive performance. Group comparisons will be performed using the Chi-square test, independent t test, Mann-Whitney U test, and multiple linear regression, where appropriate.

Anticipation： In this project, the investigators will be able to identify the distribution patterns of neuroinflammation and tau protein accumulation after actue stroke. Secondly, the investigators expect that the presence of neuroinflammation and tau protein accumulation will interfere with the functional connectivity. Finally, the investigators expect that the extent of neuroinflammation and tau protein is correlated with stroke outcome and post-stroke cognitive impairment."
NCT03497650,This is a pilot randomised controlled trial investigating a combination of unilateral strength training (cross-education) and mirror therapy for the rehabilitation of lower limb impairment following a stroke. This study has been conducted as part of a PhD qualification at the Institute of Technology Sligo in Ireland with all assessments being conducted at the institute and all therapy sessions taking place at the participant's home. The study was conducted in conjunction with Sligo University Hospital and it attained ethical approval through the relevant University Hospital Ethics Committee.
NCT04315922,"Preclinical research has established a convincing connection between changes in the gut microbiota composition and stroke outcome. However clinical data on the gut-brain axis, and its chronic characteristics, is sparse. Additional investigations in the context of ischemic stroke regarding the relationship between dysbiosis and functional changes of the microbiome, as characterized by the metabolome, are still required. The StrokeMicroBiomics study will offer insight into these mechanisms and offer new potential targets for therapeutic interventions.

The primary objective is the characterisation of gut dysbiosis in ischemic stroke patients in the acute phase after stroke and during a 3 month follow-up period.

The secondary objectives include the identification of dysregulated gut microbiome metabolites and key immune cell populations in addition to the clinical progression of the study participants during the 3 month follow-up period after disease onset."
NCT04562194,"A prospective, open label study designed to assess the safety, performance and efficacy of thrombus removal in subjects presenting with acute ischemic stroke with the NeVa stent retrievers."
NCT03566901,"Stair climbing up and down is an essential part of everyday's mobility. Physiotherapy is focused on muscle strengthening, real floor walking and stairs climbing tasks, but these methods do not stress in terms of intensity stair-climbing practice. The aims of this study is to compare whether an intensive robot-assisted stair climbing training (RASCT) is more effective than conventional physiotherapy (CP) for improving stair climbing ability, gait and postural control in stroke patients."
NCT04036084,"CADASIL (Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy) is an cerebral microangiopathy secondary to mutations in the NOTCH3 gene located on chromosome 19. This disease is the most frequent of the hereditary vascular leukoencephalopathies.

CADASIL begins between the ages of 20 and 40 with the appearance of hyper-signs of brain white matter visible on T2 sequences in magnetic resonance imaging (MRI). Before the age of 30, patients are most often asymptomatic. The disease is then responsible for different neurological manifestations:

Migraine attacks with aura occur on average in one in three patients, most often at the beginning of the course of the disease, sometimes even before the appearance of MRI abnormalities;
Transient ischemic strokes or strokes associated with small cerebral infarcts occur most frequently after the age of 50-60 years in more than two out of three patients;
Mood disorders are reported by one in three patients in the same age group;
Cognitive disorders that affect executive functions, especially after the age of 60, until the stage of severe dementia associated with walking disorders are observed during the course of the disease.

To date, there is no treatment whose efficacy has been proven in CADASIL. Various studies have shown that the accumulation of the most destructive brain tissue lesions at the subcortical level was closely correlated in CADASIL with the clinical severity of patients (motor and cognitive disability). It is now possible to measure microstructural changes in brain tissue in diffusion imaging during the course of the disease, even before significant clinical changes are detected."
NCT04310306,"This study is a prospective, open-label, multi-center, registry study, designed to to documents that EmboTrap II usage as a thrombectomy device for emergency large vessel occlusion (ELVO) in terms of the rate of First Pass Recanalization (FPR). Patients with ELVO will initially underwent mechanical thrombectomy usig EmboTrap II. FPR is defined as modified Tissue Thrombolysis In Cerebral Ischemia (mTICI) 2b or 3"
NCT04295226,"Background Stroke-related medical complications and health problems are common among stroke survivors. Post-stroke Checklist (PSC), developed by an international expert group, and can be used as a clinical tool to identify common and treatable stroke-related health problems. PSC has not been systematically tested in Sweden.

Aims To test the feasibility of a structured and multimodal follow-up model for stroke systematically, to test the validity of the PSC as a screening tool for stroke-related health problems and to study the prevalence of, and changes over time, of stroke-related health problems Study population We plan to include 200 consecutive patients with acute stroke, treated in-hospital at Skåne University Hospital in Malmö and discharged straight to own home.

Procedure The intervention consists of a structured follow-up visit, managed by a stroke nurse, 3 months after stroke followed by a multidisciplinary team rounds resulting in an individual treatment plan for stroke-related health problems, and a final follow-up at 12 months.

Feasibility will be evaluated, as well as burden of stroke-related health problems and interventions prompted by the visits.

Researchers responsible for the study:

Teresa Ullberg, MD, Ph (Postdoctoral researcher) and Hélène Pessah-Rasmussen, MD, PhD, associate professor (PI)."
NCT04308733,"The aim of the study is to investigate the effect of anodal transcranial direct current stimulation applied over the pharyngeal motor area in 60 dysphagic patients with acute isolated brainstem stroke. Thirty patients will undergo stimulation on the pharyngeal area contralateral to the side of brainstem lesion, and 30 patients will receive sham stimulation over the contralateral area, for 4 consecutive days. Patients will be re-evaluated after 4 consecutive days of stimulation. Primary outcome: The Penetration/Aspiration Scale after 4 consecutive days of stimulation. Secondary outcomes: changes in electromyographic parameters and pharyngeal cortical motor evoked potentials, changes in the Dysphagia Severity Rating Scale (DSRS), in the Functional Oral Intake Scale (FOIS), and in the ""Dysphagia Limit Test"", after 4 consecutive days of stimulation."
NCT04592627,"The purpose of this study is to customize privacy protected facial expression and body motion tracking for use in the home environment by stroke survivor-informal caregiver dyads by investigating within a simulated home environment, background variability,possible occlusions, privacy considerations, and the motor weaknesses, gait impairments, and facial expressions of stroke survivors and to determine the acceptability of the customized facial expression and body motion technology in stroke survivors and their informal caregivers."
NCT04309357,"Consecutive patients with diagnosis of acute ischemic stroke and candidate of thrombolytic therapy during Jan 2017-Mar 2019 in BuAli Sina Hospital ,Sari, Iran, enrolled to this cohort study.

The demographic data, stroke characteristis, lab data and ... recorded. Then patients evaluate every 3 month until 12 month for fallow up."
NCT04302883,The prevalence of dysphagia in acute stroke patients undergoing transesophageal echocardiography (TEE) is unknown. The aim of this study was to assess for the first time whether TEE has a negative influence on swallowing in acute stroke patients.
NCT01399762,The purpose of the Endostroke Registry is to gather information on predictors of good or poor clinical outcome following mechanical recanalization therapies for acute ischemic stroke.
NCT04275219,"Stroke-associated pneumonia (SAP) is the major complication of acute intracerebral haemorrhage (AICH), leads to poor clinical outcomes and increases the financial burden on the medical system. Prophylactic antibiotics do not reduce the mortality rate of SAP. The Tong-Fu-Xing-Shen herbal formula (TFXS) was shown to be effective for the prevention and treatment SAP in a previous clinical trial. To clarify whether TFXS is effective and safe for the treatment of SAP and affects the immunological mechanism of the ""brain-gut-lung"" pathway of SAP, the investigators designed this study."
NCT04283760,"Our study was planned to investigate the reliability validity of the Movement Imagery Questionnaire- RS in acute stroke patients.

For our study, the Turkish version of the Movement Imagery Questionnaire-RS will be established first. Then, the reliability and validity of the questionnaire in acute stroke patients will be examined.

The study included 70 stroke patients hospitalized in the Stroke Unit of the Neurology Department of Hacettepe University Hospitals and individuals between 50-75 years of age who do not have any disease in Ankara."
NCT04275180,"Acute ischemic stroke (AIS) has the characteristics of high morbidity, high mortality, high disability rate and high recurrence rate. Progressive cerebral infarction (PIS) is a subtype of AIS, accounting for 10% - 40%. Because of the gradual aggravation of neurological deficit symptoms, it has a higher rate of disability and death, which brings heavy mental and economic burden to families, society and the country.

The progress of acute cerebral infarction is generally within 6 hours to 1 week after the onset of the disease. At present, it is considered that thrombus prolongation is one of the important pathogenesis of PIS. Heparin can reduce the incidence of post-stroke embolism, but its benefits are offset by the risk of hemorrhage due to the high risk of hemorrhage. The 2013AHA guidelines in the United States do not recommend it as a routine anticoagulant therapy. Therefore, reducing the risk of bleeding is the key to the anticoagulation therapy of PIS.

Argatroban is a new thrombin inhibitor. Its mechanism of action is to bind and inactivate thrombin (factor Ⅱ a) directly.Compared with traditional anticoagulants, argatroban not only has the advantages of good anticoagulant effect and rapid onset, but also has high safety. Therefore, this study aims to verify the clinical efficacy of Argatroban in the treatment of PIS in a large population.

In this study, 628 patients are expected to be enrolled into the study group. The experimental group and the control group are selected by dynamic random method. Both groups are given standard medical treatment, including routine antiplatelet, blood pressure control, statins to stabilize plaque, etc. The control group is only given standard medical treatment. In the experimental group, Argatroban is used on the basis of standard medical treatment. Both groups are treated for 7 days, and the second-class prevention standard medical treatment is given from the 8th to the 90th day. The main outcome measure is the good prognosis rate at the third month after PIS. The good prognosis was defined as the modified Rankin Scale (mRS) ≤ 3."
NCT04270513,The aim of this study is to compare time delay and safety parameters of stroke patients initially admitted to a rural primary stroke center (PSC) who receive endovascular treatment (EVT) by a Flying Intervention Team with patients who receive EVT after secondary transfer to a comprehensive stroke center (CSC).
NCT04272892,"This study evaluates the efficacy of digital cognitive behavioural therapy for insomnia (Sleepio) in chronic stroke survivors. Half of the participants will receive access to the digital (online) programme, half will receive a leaflet with sleep hygiene information. The primary outcome will be changes in sleep quality, assessed as the score on the Sleep Condition Indicator."
NCT01954797,The purpose of this observational study is to examine the effects of 4-weeks of physical fitness training in patients with subacute ischemic stroke on cerebral imaging and blood-derived biomarkers.
NCT05140148,The investigators aim to examine whether amantadine can help patients recover from stroke. This will be a blinded randomized clinical trial (RCT). Patients will be randomized post-ischemic or hemorrhagic stroke either to the placebo arm or amantadine arm. Patients will be on study drug or placebo for 1 month but will be enrolled for 3 months total. At various time points patients will be examined and fill out questionnaires to determine level of stroke recovery.
NCT03495206,The primary objective is to evaluate the safety and tolerability of single ascending dose of Y-2 sublingual tablets in healthy male and female adult subjects. The secondary objective is to characterize the single-dose pharmacokinetics of Y-2 sublingual tablets in healthy male and female adult subjects.
NCT01957774,"The purpose of this study is to test the experimental drug ""THR-18"" given together with the drug ""tissue plasminogen activator"" for the treatment of stroke. Tissue plasminogen activator is also called ""tPA"".

Strokes often result from blockade of blood supply caused by blood clots forming within the blood vessel feeding the brain. Such strokes are called ""Ischemic strokes"". Treatment of these strokes is aimed at breaking up the blood clot(s) and renewing the blood flow before further parts of the brain die. Breaking up the blood clot is possible with the drug tPA when it is injected into a vein shortly after the stroke starts. However, along with breaking up the blood clot, tPA sometimes causes adverse effects, for example, it may cause bleeding. THR-18, the drug tested in this study, is meant to bind to tPA and reduce its adverse effects without stopping tPA's breaking up of the blocking blood clot.

The primary purpose of this study is to evaluate the safety of THR-18 in acute ischemic stroke patients who are treated in parallel with tPA. Another purpose of this study is to investigate levels of THR-18 and tPA in the blood stream at different time points after they are injected, at the same time, into a vein. In addition, this study will measure tPA's effect on blood clot dissolution when tPA is given with and without THR-18. The study will also study the effect THR-18 may have on signals of brain damage that can be found in the blood after stroke: these signals of brain damage are small proteins called S100B and matrix metalloproteinase (MMP)-9. These proteins are released into the blood stream when the brain is injured.

The safety evaluation of THR-18 in this study will be done in comparison to placebo. Placebo is a drug that looks exactly like THR-18 but has no activity. Three doses of THR-18 will be tested, one after the other, in three groups of patients. In each group, some patients will receive THR-18 and some will receive placebo. This clinical study will be conducted only at one hospital in the Ukraine. In total, 30 patients are planned to participate in this study. These patients will be in the hospital for at least 3 days after receiving the study treatment. Then, about 1 month later, they will be invited for a last follow-up visit."
NCT04588649,"Stroke can lead to signficiant neurological deficits, and about one-third of stroke patients will be diagnosed of vascular mild cognitive impairment or post-stroke dementia. Post-stroke dementia includes all types of dementia that happen after stroke, irrespective of their cause, and vascular dementia (VaD), degenerative dementia (especially Alzheimer's disease), or mixed dementia (dementia as a result of the coexistence of vascular lesions of the brain and neurodegenerative lesions) are the most common causes of post-stroke dementia. However, it is difficult to determine to what extent cognitive impairment may be attributable to stroke versus concomitant Alzheimer disease. With the advent of PET imaging technique, we are able to conduct a multi-modal neuroimaging study to explore the composite influence of vascular injury, amyloid plaque and Tau protein the the cognitive performance after stroke."
NCT05580744,"In the proposed study, the investigators assumed that mirror therapy combined with augmented reality technology will provide a better treatment effects than traditional mirror therapy for the patients with unilateral stroke. The aim of the study is to examine the difference in the treatment effects among the combination of task-oriented training with either augmented reality based mirror therapy, mirror therapy or traditional occupational therapy on the upper extremity function and brain activity of the stroke patients."
NCT01976936,"This trial will be a phase 2 randomized safety study in which ischemic stroke patients will be randomly assigned within 24 hours of symptom onset to placebo or standard dose lovastatin versus short-term high-dose lovastatin 640 mg per day for 3 days. The primary outcome of this Phase 2 study will be musculoskeletal and hepatic toxicity, defined by clinical and laboratory criteria, with a 3-month follow-up period (± 1 week). Secondary outcomes will include neurological outcome (National Institute of Health (NIH) Stroke Scale), functional outcomes (Barthel Index), and handicap (modified Rankin scores). Effects on inflammatory markers and lipid levels will also be assessed."
NCT04235920,The aim of this study is to assess the use of ASPECTS and stroke biomarkers to predict the outcome and cognitive impairment in acute ischemic stroke.
NCT04767360,"A four-weeks randomized clinical two-period crossover-design study will be conducted. Each patient will be randomized in a two separate consecutive treatment periods (Parallel Group Design). ""Group A"" will be treated with functional electrical stimulation (FES) and a second ""Gruppe B"" will be treated without FES for two weeks. After this period Group A and Group B will switched."
NCT05256368,"This study aims to develop a neurophysiological marker for post-stroke participants that predicts upper extremity motor recovery in response to a standard upper extremity rehabilitation protocol of task-specific training (TST). For this aim, the researchers will utilize transcranial magnetic stimulation (TMS) combined with electromyography (EMG) and electroencephalography (EEG) to observe inpatients with stroke-related hemiplegia and follow their recovery through outpatient for up to 3 months. Motor-evoked potentials (MEPs), transcranial-evoked potentials (TEPs), action research arm test (ARAT) scores, and clinical outcome measures will be recorded at different time points of the inpatient rehabilitation period. The researchers hypothesize that changes in motor recovery will be reflected in changes in the MEPs and TEPs."
NCT04226157,"The purpose of this pilot study is to assess the feasibility of implementing a home blood pressure self-management program in a population of recent stroke survivors in the Washington, D.C. area. The investigators hypothesize that hypertensive stroke survivors in the Washington, DC area who participate in the Home Blood Pressure Monitoring program will have a greater reduction in mean systolic blood pressure (SBP) from baseline to 3 months, as measured by automated office blood pressure (AOBP), as compared to usual care."
NCT04223180,"Stroke is associated with disability and impaired quality of life. Persistent motor impairment is common with incomplete recovery of motor function after rehabilitation, mainly in the upper limbs (UL). Robot-mediated therapy (RMT) has been proposed as a viable approach for the rehabilitation of the UL, but more rigorous studies are needed to tailor rehabilitation and to better address the treatment. Brain-derived neurotrophic factor (BDNF) and the serotonin transporter gene (SLC6A4) have been shown to play an important role in post-stroke recovery. After ischemic stroke, disruption and subsequent reorganization of functional brain connections occur both locally and far from the lesion, with the latter possibly contributing to function recovery.

This project aims to assess whether epigenetic and genetic variations of BDNF and SLC6A4 can occur in stroke patients after robotic rehabilitation treatment.

This study will allow to identify potential genetic and epigenetic biomarkers in post-stroke rehabilitation that could be used to predict the response to a specific rehabilitation treatment and to choose the optimal treatment for the patient (Rehabilomics)."
NCT04211662,"Family caregivers are the key persons in the recovery and rehabilitation process of stroke survivors. Despite multiple researches recommended the development of interventions which are based on the family caregivers' needs and recommended the conduction of the interventions based on the integration of skill-building, psychoeducation, and peer support to relieve the care burden they feel, there are no studies conducted to evaluate the effect of such these interventions on the family caregivers of stroke survivors in Egypt. The purpose of this study is to evaluate the effect of a tailored multidimensional intervention on the care burden among family caregivers of stroke survivors. Using a randomized control trial, 110 family caregivers will be recruited from the community; from the outpatient clinics and rehabilitation clinics which are located at Mansoura city (Capital of Dakahlia Governorate) and the surrounding cities and villages. The participants will be randomized through 1:1 open-label randomization to the intervention group and the control group. The intervention group will receive the tailored multidimensional intervention. The intervention will last for 6 months. 3 home visits and 3 telephone interventions and 1 peer support will be conducted during the first 3 months. the home visits and telephone interventions will be conducted biweekly alternately. During the second 3 months, 3 telephone follow-ups will be conducted monthly. Regarding the control group, they will receive a simple educational booklet through one home visit. The primary outcome is the care burden (Zarit Burden Interview) and secondary outcomes are the perceived needs (Family Needs Questionnaire-Revised), coping strategies (Brief Coping Orientation to Problems Experienced) and quality of life (World Health Organization Quality of Life-BREF) among family caregivers. The primary and secondary outcomes will be assessed basically before the intervention and after the 3rd and 6th months since the start of the intervention."
NCT04205578,"An extracranial-to-intracranial (EC-IC) revascularization is the most widely used treatment to improve cerebral perfusion in patients with moyamoya disease (MMD), and it has been shown to reduce the risk of subsequent stroke and neurological deficit. However, perioperative changes in cerebral hemodynamics can induce fluctuations in cerebral perfusion that may lead to transient or irreversible neurological deficits. Our preliminary single-center study suggests that postoperative intravenous administration of dl-3-n-butylphthalide (NBP) may alleviate perioperative neurological deficits and improve the neurological outcomes after EC-IC revascularization for MMD. This is a multicenter, randomized, double-blind, single-controlled, add-on to standard of care study of NBP in patients with MMD of high risk for ischemic cerebrovascular events after EC-IC revascularization surgery."
NCT04588116,The purpose of the study is to evaluate the feasibility and potential outcomes of a first version of a web-based intervention in occupational therapy focusing on empowering an active everyday life for people with stroke.
NCT04203420,"The guideline requires clinical works to screen for primary aldosteronism(PA) in young adults with family history of stroke at early onset. But the prevalence of PA in young adults with stroke onset before 45 years old had never been investigated. The study aimed to discover the prevalence as well as the clinical characteristics between patients with PA and those without PA during stroke attack. In order to fulfill this objective, investigators intended to conduct a cross-sectional study by taking screening and confirmatory tests among young adults who once admitted due to early onset of acute stroke."
NCT04204356,"Aphasia is a language impairment caused by brain injury such as stroke that affects the ability to understand and express language, read and write due to damage in the language regions of the brain. Non-invasive brain stimulation (NIBS) techniques like transcranial direct-current stimulation (tDCS) have been found to improve aphasia treatment effects in post stroke patient populations such as improved naming abilities.

However, the effect of tDCS on more functional, higher level language skills such as discourse production (i.e. story telling, giving instructions) has yet to be understood.Therefore the aim of this study is to determine the potential effectiveness of tDCS as an adjunct to speech and language therapy (SLT) to improve discourse speech production in people with post-stroke aphasia. It is hypothesised that SLT combined with tDCS will result in greater improvements in discourse language production compared to SLT on its own."
NCT04196894,"This study focuses on the relationship between obesity and stroke, which are both characterized by increasing incidence and prevalence with epidemic proportions worldwide and tremendous socio-economic consequences. Furthermore, obesity is an established risk factor for stroke and affects especially younger people, which increases the stroke incidence in younger patients. Unfortunately, the relationship between overweight and acute ischemic stroke including treatment by thrombolysis has not yet been evaluated thoroughly."
NCT04197258,"Going back home following a stroke is a key step for the patient and his or her relatives. Due to the brutality of stroke and increasingly shorter in-hospital lengths of stay, patients and their families must adapt quickly to the patient's new health functioning and the new caregiving and support role for family members.

Peer support could be an innovative and inexpensive approach to addressing these issues. Peer-helpers are patient-partners who put their experiential knowledge from life with the disease at the disposal of other patients to offer them social and emotional support in the management of the disease in connection with care, social and community structures. Group peer support programs face organizational challenges and fail to address the full range of patient needs for stroke home visits. Individualized and more flexible support could better meet the needs of patients. Our hypothesis is that individual peer support improves quality of life and patient empowerment during the discharge period compared to usual practice."
NCT04199455,"The main purpose of this trial is to determine whether Chinese medicine (CM) for eliminating phlegm and clearing heat (EPACH) recipe continuously with nourishing Qi and activating blood circulation (NQABC) recipe, oral within 72 hours of symptom onset, improves the 15-day neurologicl deficits in participants with acute ischemic stroke."
NCT04587349,"High intensity motion improves motor functions and quality of life in a neurologist. The investigators want to improve the clinical condition and quality of life of post-STROKE participants with a special sensory motor and visual motor agility therapy. High intensity motion improves engine function and quality of life in a neurologist. With special sensory motor and visual motility, investigaters want to improve the clinical condition and quality of life of STROKE participants. The investigaters randomly select participants who only perform the rehabilitation treatment have performed. The other group that will receive the study's control group will receive the traditional rehabilitation physiotherapy treatment. The investigaters assess the condition and quality of life of the patients. (EQ5-D, Barthel index, MRS test) The ivestigaters examine the functional movement and equilibrium variables of patients. (6MWT, Berg balance test, postgraduation) After that, participants are undergoing a 4-week intensive rehabilitation treatment. All participants are in post stroke. Primary Hypothesis will be changes in life-quality tests (EQ5-D, Barthel index, MRS test). Functional tests show progress 6MWT, Berg balance test and postural control testing with posturography. The results are compared and evaluated among the groups. The expected hypothesis is that visual and acoustic stimulation produces a better physical state at higher intensity. Patients were followed for 2 years and participated in a follow-up study every six months."
NCT04195412,"Functional and structural magnetic resonance imaging (MRI) will be used to investigate neural correlates of bihemispheric transcranial direct current stimulation (tDCS) associated with upper limb rehabilitation in chronic stroke patients. For this purpose, patients included will be submitted to 10 sessions with active or sham bihemispheric tDCS associated with intensive and individualized rehabilitation. Neuroimage will be employed before and after the intervention to investigate neural correlates of expected changes in motor function."
NCT03565185,Investigators aimed to compare the results of rehabilitation with an exoskeleton device(Robogait) and with an end-effector device(Lokohelp)
