"nct_id","brief_title","condition","intervention_type","intervention"
"NCT00974922","Vitamin D Deficiency in Patients With Hypertension","Hypertension","Drug","Aliskiren"
"NCT02061124","Effect of Bile Acid Sequestration on Postprandial GLP-1 Secretion, Glucose Homeostasis and Gut Microbiota","Type 2 Diabetes","Drug","Placebo 1600 mg TID for 7 days"
"NCT05241327","Effects of Nitrate-rich Beetroot Juice in Pregnant Women With High Blood Pressure","Hypertension","Dietary Supplement","Beetroot Juice"
"NCT01764724","Attitudes and Understanding of Sodium Claims on Food Labels","Hypertension","Behavioral","Mock package questionnaire"
"NCT01563770","Cardiovascular Effects of Salvia Miltiorrhiza Extract (Danshen)","Hypertension","Dietary Supplement","Salvia miltiorrhiza extract"
"NCT01315756","Self-management in Type 2 Diabetes Patients Using the Few Touch Application","Type 2 Diabetes","Device","Use of FTA and health counseling based on TTM and CBT"
"NCT00971659","Adjunctive Therapy of Exenatide or Sitagliptin to Insulin Glargine in Type 2 Diabetes","Type 2 Diabetes","Drug","insulin glargine + exenatide + preexisting metformin"
"NCT01424891","Effects on NF-κB Activity: High Dose Simvastatin Versus Combination Therapy With Ezetimibe","Type 2 Diabetes","Drug","Sim10/Eze10"
"NCT00255541","GALLANT 4 Tesaglitazar vs. Glibenclamide","Type 2 Diabetes","Drug","Glibenclamide"
"NCT00930293","Efficacy and Feasibility of a Personalized Treatment for Depression With Co-Occurring Anxiety","Depression","Drug","Citalopram hydrobromide"
"NCT01314924","Effects of Acute Ingestion of Dark Chocolate on Endothelial Function in Hypertensive Patients","Hypertension","Dietary Supplement","Dark chocolate"
"NCT02679768","Electronic Self-monitoring on Regulation of the Sleep-wake Cycle to Reduce Relapse of Depression After Discharge","Depression","Behavioral","Standard treatment"
"NCT03747055","Effectiveness of Group Focused Psychosocial Support for Adults Affected by Humanitarian Crises","Depression","Behavioral","Enhanced treatment as usual"
"NCT02396472","Mental Health Pathways in Internet Support Groups","Depression","Behavioral","Order by self-disclosure"
"NCT00641303","Acupuncture in Reducing Muscle and Bone Symptoms in Women Receiving Letrozole, Exemestane, or Anastrozole for Stage 0, Stage I, Stage II, or Stage III Breast Cancer","Depression","Procedure","acupuncture therapy"
"NCT01075698","A Trial of Telmisartan Prevention of Cardiovascular Disease","Hypertension","Drug","Non-ARB (standard therapy)"
"NCT01624935","Clinical Trial of Interpersonal Therapy for Survivors of the Sichuan Earthquake","Depression","Behavioral","interpersonal psychotherapy"
"NCT03870776","RESIST : Administration of MAP4343 in Antidepressant Non-Responders Patients Experiencing a Major Depressive Episode","Depression","Drug","Placebo"
"NCT00518479","Pathophysiological Mechanisms of Hypertensive LVH:Optimising Regression","Hypertension","Drug","Valsartan 160mg OD; Moxonidine 400mcg OD"
"NCT04936022","Isometric Exercise for People With Raised Blood Pressure","Hypertension","Behavioral","Standard care lifestyle advice"
"NCT02000726","Neuroimaging Predictors of Antidepressant Treatment Outcome","Depression","Drug","Citalopram"
"NCT02696109","Cornerstone Program for Transition-Age Youth Study Protocol for a Randomized Controlled Trial","Depression","Behavioral","Cornerstone"
"NCT01693510","Be Healthy in Pregnancy (B-HIP): A Trial to Study Nutrition and Exercise Approaches for Healthy Pregnancy","Type 2 Diabetes","Behavioral","Exercise and Nutrition Intervention"
"NCT00260923","A Dose Ranging Study to Compare the Safety and Efficacy of Aliskiren in Patients With High Blood Pressure","Hypertension","Drug","aliskiren"
"NCT05108402","Comparison on Blood Pressure Effect of an Equivalent Sodium Intake, With Different Nature, for Hypertensive Subjects","Hypertension","Diagnostic Test","Phenotyping"
"NCT02076347","Comparison of Two Pharmacist-led Population Management Approaches to Increase Monitoring of Vitamin B12 and Serum Creatinine Levels for Patients on Metformin","Type 2 Diabetes","Behavioral","Electronic Message Intervention"
"NCT00711971","Does Fish Oil Prevent Depression in Pregnancy and Postpartum?","Depression","Drug","placebo"
"NCT01230216","Effect of Intensive Blood Pressure Control on Progression of Coronary Atherosclerosis: Randomized Evaluation by Intravascular Ultrasound","Hypertension","Drug","control systolic blood pressure less than 120 mmHg"
"NCT05145309","Value of Potassium Magnesium Citrate in Preventing and Treating Hypertension in African Americans","Hypertension","Drug","Placebo"
"NCT00091962","Effectiveness of Depression Treatment Following Coronary Artery Bypass Surgery","Depression","Drug","Pharmacotherapy"
"NCT04053244","Internet-based Cognitive Behavioural Therapy for Cardiac Patients","Depression","Behavioral","internet-based cognitive behavioural therapy"
"NCT02532660","Study to Evaluate the Efficacy of LABCAT TCJUSS in Patients With Depressive Episode","Depression","Drug","Escitalopram Placebo"
"NCT00777946","Study to Evaluate the Efficacy and Safety of Combination Aliskiren/Amlodipine in Patients Not Adequately Responding to Aliskiren Alone","Hypertension","Drug","Placebo to Aliskiren/Amlodipine"
"NCT00357955","Combined Behavioral and Pharmacological Intervention for Cardiovascular Risk Reduction in Diabetic Patients","Hypertension","Behavioral","Interactive Education"
"NCT01307046","MK-0954A in Japanese Patients With Essential Hypertension Not Adequately Controlled With Losartan (MK-0954A-352)","Hypertension","Drug","Placebo to losartan 50 mg"
"NCT00676962","Facilitating Implementation of Cognitive Behavioral Therapy in Primary Care and Community Clinics","Depression","Behavioral","External facilitation"
"NCT01438229","Safety and Efficacy Study of Renal Artery Ablation in Resistant Hypertension Patients","Hypertension","Device","St. Jude Medical renal artery ablation system: RF ablation generator (IBI 1500T11.5) and Renal artery ablation catheter (DS3D001, DS3D002)"
"NCT05098470","Effects of Modulators of Gluconeogenesis, Glycogenolysis and Glucokinase Activity","Type 2 Diabetes","Drug","Dorzagliatin"
"NCT01984489","Efficacy and Safety Study of SHR117887 in Combination With Metformin in Patients With Type 2 Diabetes","Type 2 Diabetes","Drug","Placebo"
"NCT03128138","Single Ascending Dose Study of Safety and Tolerability of SPH3127 Tablet in Chinese Healthy Volunteers","Hypertension","Drug","SPH3127"
"NCT05379608","Intermittent Hypoxic-hyperoxic Training in Patients With Cardiovascular Pathology After COVID-19 Infection.","Hypertension","Procedure","Intermittent hypoxic-hyperoxic training"
"NCT01764295","Clinical Study for Patients With Hypertension Associated With Dyslipidemia","Hypertension","Drug","Olmesartan"
"NCT01281605","Comparison of Two Titration Programs of Adding Insulin Detemir to OADs in Poorly Controlled Type 2 Diabetes","Type 2 Diabetes","Behavioral","Usual titration algorithm"
"NCT01820377","The Aboriginal Youth Mentorship Program","Type 2 Diabetes","Behavioral","Aboriginal Youth Mentorship Program"
"NCT01655654","Prevalence, Awareness and Management of Hypertension in Acute Care Personnel","Hypertension","Behavioral","Physical activity"
"NCT01103960","An Eight-week Randomized,Double-blind Study to Evaluate the Efficacy and Safety of Fixed-dose Combinations of T80+A5 Versus A5 Monotherapy in Patients With Hypertension Who Fail to Respond Adequately to Treatment With A5 Monotherapy","Hypertension","Drug","Telmisartan80mg+Amlodipine 5mg"
"NCT03512522","Pain Self-management Program for Older Adults","Depression","Behavioral","Workbook Group"
"NCT01701570","Barriers to Physical Activity in People With Type 2 Diabetes","Type 2 Diabetes","Behavioral","Placebo Attention Control"
"NCT01390701","Blood Pressure Lowering Effect of Transcutaneous Electrical Nerve Stimulation","Hypertension","Device","transcutaneous electrical nerve stimulation"
"NCT01672476","A Multicenter, Phase 3 Study to Evaluate the Antihypertensive Efficacy and Safety of Fimasartan(BR-A-657∙K) 30mg Compared to Placebo in Patients With Mild to Moderate Essential Hypertension","Hypertension","Drug","Valsartan"
"NCT02132234","Effects of Biological Treatment on Blood Pressure and Endothelial Function in Patients With Rheumatoid Arthritis, Psoriatic Arthritis and Ankylosing Spondylitis","Hypertension","Drug","Certolizumab"
"NCT03712410","A Problem Solving Intervention for Hospice Caregivers","Depression","Behavioral","PISCES"
"NCT01680172","Oral Ketamine in the Treatment of Depression and Anxiety in Patients With Cancer","Depression","Drug","Ketamine"
"NCT00283036","APROVE : Irbesartan in Hypertension","Hypertension","Drug","Irbesartan"
"NCT05140694","Effect of Empagliflozin and Dulaglutide on MAFLD in Patients With T2D","Type 2 Diabetes","Drug","Dulaglutide"
"NCT02211352","Effect of Korean Red Ginseng on Central Blood Pressure in Patient With Essential Hypertension","Hypertension","Drug","Korean Red Ginseng Capsules"
"NCT04019119","Digital Intervention for the Modification of Lifestyles (iGame)","Depression","Behavioral","Digital intervention"
"NCT00364988","Pioglitazone and Losartan Provides Additional Renoprotection","Type 2 Diabetes","Drug","losartan"
"NCT00377208","Individually Tailored Web-Based Program to Improve Blood Pressure Control","Hypertension","Behavioral","Web-Based Intervention"
"NCT04531774","RECHARGE: A Brief Psychological Intervention to Build Resilience in Healthcare Workers During COVID-19","Depression","Behavioral","Self Study"
"NCT04536480","Impact of Meal Timing on Glycemic Profiles in Adolescents With Type 2 Diabetes","Type 2 Diabetes","Behavioral","Time Limited Eating"
"NCT01892592","Discovering Healthcare Innovations to Address Disparities in Stroke (DIADS)","Hypertension","Behavioral","Diet and Lifestyle"
"NCT02583230","Mobile Technology to Engage and Link Patients and Providers in Antidepressant Treatment (MedLink)","Depression","Behavioral","MedLink System"
"NCT02647216","Mindfulness for Breast Cancer","Depression","Behavioral","Mindfulness Based Cognitive Therapy"
"NCT03595254","Digital Cognitive Behavior Therapy Program for Suicide Prevention","Depression","Behavioral","Thrive"
"NCT03684434","Online Cognitive Behaviour Therapy for Depression and Anxiety: Randomized Controlled Trial Varying Treatment Content","Depression","Behavioral","Online CBT"
"NCT00125853","The Effect of Nebivolol on Insulin Sensitivity","Hypertension","Drug","Nebivolol"
"NCT02677987","The ""Light for the Brain"" Study","Depression","Device","Comparison systematic light exposure"
"NCT03432468","Effect of Fully Blocking Type 1 Angiotensin Receptor on Target Organ Damage of Postmenopausal Hypertensive Women","Hypertension","Drug","Valsartan 1"
"NCT04733690","METABOLIC CHARACTERISTICS OF A NOVEL COMMON BEAN PRODUCT","Type 2 Diabetes","Dietary Supplement","Common bean product"
"NCT05555056","Enhancing the Effectiveness of Cognitive Behavioral Therapy Using Non-invasive Brain Stimulation","Depression","Device","MxN-9 HD-tES Stimulator (Soterix Inc.)"
"NCT04533659","Personalized Behavioral Nutrition Intervention in Older AAs With T2D","Type 2 Diabetes","Behavioral","ADA-based nutrition education with digital self-monitoring"
"NCT02345668","Effectiveness of a Transdiagnostic Internet-based Treatment for Emotional Disorders","Depression","Behavioral","Emotion Regulation Protocol"
"NCT00872846","Balance System Study in Type 2 Diabetic Patients","Type 2 Diabetes","Device","BALANCE System intestinal electrical stimulator"
"NCT01520285","Compare the Effects of Lercanidipine Hydrochloride Tablet (Zanidip®) and Felodipine Sustained-Release Tablet for Hypertension","Hypertension","Drug","Zanidip"
"NCT00430040","Vascular Benefits of Adding CarvedilolCR to Type2 Diabetic Patients on ACEI.","Hypertension","Drug","lisinopril"
"NCT04531176","EMI-EHP Weight Management and Type 2 Diabetes Pragmatic Trial","Type 2 Diabetes","Drug","Orlistat"
"NCT00066859","Sertraline Compared With Hypericum Perforatum (St.John's Wort) in Treating Depression","Depression","Drug","Zoloft 50 mg"
"NCT04545593","Positive Minds Strong Bodies Implementation","Depression","Behavioral","Enhanced Usual Care"
"NCT00856960","The Effect of Hypertension Medications on Renal Blood Flow Measurements in Healthy Males (MK-0000-127)","Hypertension","Drug","Comparator: Placebo to Losartan"
"NCT00260169","Determining Depression Treatment Preferences of Low-Income Latinos in Primary Care Settings","Depression","Behavioral","Collaborative care treatment"
"NCT03822598","Promoting Asylum-seeking and Refugee Children's Coping With Trauma","Depression","Behavioral","Teaching Recovery Techniques, TRT"
"NCT02623205","Advancing Personalized Antidepressant Treatment Using PET/MRI","Depression","Drug","Escitalopram"
"NCT00133068","Collaboration to Reduce Disparities in Hypertension","Hypertension","Behavioral","Computer"
"NCT03451630","PCORI Integrated Care (IC) Models for Patient-Centered Outcomes","Hypertension","Behavioral","High-Tech"
"NCT02702596","METRIC: Measurement, Education and Tracking in Integrated Care","Depression","Behavioral","Depression Education Fotonovela"
"NCT02011685","Practice-Based Trial of Home BP Telemonitoring Among Minority Stroke Survivors","Hypertension","Behavioral","Nurse Case Management (NCM)"
"NCT02204527","Supplementation of Vitamin D in Patients With Type 2 Diabetes and Hypertension","Hypertension","Dietary Supplement","placebo pill"
"NCT03034720","Collaborative Care Model for the Treatment of Persistent Symptoms After Concussion Among Youth","Depression","Behavioral","Collaborative Care"
"NCT00549770","Efficacy and Safety of LCZ696A in Patients With Essential Hypertension","Hypertension","Drug","LCZ696"
"NCT05054842","Clinical Study of Retagliptin Phosphate Combined With Metformin in the Treatment of Type 2 Diabetes","Type 2 Diabetes","Drug","Retagliptin phosphate placebo tablets、metformin sustained-release tablets"
"NCT00971516","Healing Profile of Titanium Dental Implants Placed in Patients With Diabetes","Type 2 Diabetes","Procedure","Implant placement"
"NCT01034111","A Local Experiential Study With Sitagliptin (an Antihyperglycemic Drug) in 30 Patients With Type 2 Diabetes Mellitus (0431-178)","Type 2 Diabetes","Drug","Metformin"
"NCT00256256","The Effect of GLP-1 on Glucose Uptake in the Brain and Heart in Healthy Men","Type 2 Diabetes","Drug","glucagon-like-peptide-1"
"NCT01479920","A Positron Emission Topographic (PET) Study on Depression Patient With Electroacupuncture","Depression","Drug","Fluoxetine"
"NCT00961857","A Study to Demonstrate the Bioequivalence of Sitagliptin/Metformin Combination Tablets and Concomitant Administration of Sitagliptin and Metformin as Individual Tablets (0431A-048)","Type 2 Diabetes","Drug","Comparator: metformin 500 mg"
"NCT00844922","Safety of Org 34517 900 mg in Patients Who Received Org 34517 in a Previous Trial (Study 28133/P05842)","Depression","Drug","Placebo"
"NCT00913822","To Demonstrate the Relative Bioavailability of Desipramine Hydrochloride Tablets","Depression","Drug","Norpramin 100 mg Tablets (Merrell Dow Pharmaceuticals, Inc.)"
"NCT04161209","Citalopram and Stress Reactivity","Depression","Drug","Citalopram"
"NCT02973607","Effects of a Reduction in Renal Function on Cardiovascular Structure and Function","Hypertension","Procedure","Nephrectomy"
"NCT01712113","Crossover Bioequivalence Study of Irbesartan 300 mg Tablets Under Fasted Conditions","Hypertension","Drug","Avapro"
"NCT02099851","Endovascular Carotid Body Ablation in Patients With Treatment- Resistant Hypertension: A Safety and Feasibility Study","Hypertension","Device","Carotid body ablation (Cibiem)"
"NCT01083017","Resistant Arterial Hypertension Cohort Study","Hypertension","Drug","standardized anti-hypertensive treatment"
"NCT02608242","PK Study of YH22189 FDC Compared to Combination of Telmisartan/Amlodipine and Rosuvastatin","Hypertension","Drug","YH22189"
"NCT02458690","eIMPACT Trial: Modernized Collaborative Care to Reduce the Excess CVD Risk of Older Depressed Patients","Depression","Behavioral","Beating the Blues (BtB)"
"NCT00123435","Veterans Walk for Health Study","Hypertension","Behavioral","Nutritional counseling"
"NCT01771185","Metabolic Effects of Gastrointestinal Surgery in T2DM","Type 2 Diabetes","Drug","Best medical treatment (Metformin ; gliclazide)"
"NCT00723853","REACH-OUT: Chicago Children's Diabetes Prevention Program","Type 2 Diabetes","Behavioral","Reach-In Program, standard of care"
"NCT04681703","Nurse-led Program Efficacy on Blood Pressure Control","Hypertension","Behavioral","Nurse-led program on accuracy of blood pressure self-measurement"
"NCT05363384","A Bioequivalence Study of CT-L01 Compared to Co-administration (ALO 25 mg and MET XR 1,000 mg) in Healthy Volunteers","Type 2 Diabetes","Drug","Alogliptin Benzoate 25 mg"
"NCT04512768","Treating Comorbid Insomnia in Transdiagnostic Internet-Delivered Cognitive Behaviour Therapy","Depression","Behavioral","Brief Internet-Delivered Cognitive Behaviour Therapy for Insomnia"
"NCT04081519","Stimulation of Parieto-hippocampal Connectivity in Patients With Major Depressive Disorder","Depression","Device","Add-on active rTMS over DLPFC"
"NCT00177671","Antidepressant Medication Plus Donepezil for Treating Late-life Depression","Depression","Drug","Venlafaxine"
"NCT00149812","A Clinic-based Prevention Program for Families of Depressed Mothers","Depression","Behavioral","Family Functioning Intervention"
"NCT01903187","EnligHTN IV Trial - Multicenter Sham-controlled RCT of Renal Denervation for Hypertension","Hypertension","Procedure","Sham"
"NCT01174381","The Use of a Community-based Organization to Change Lifestyle Characteristics Related to Non Communicable Diseases","Hypertension","Behavioral","lifestyle modification"
"NCT00178919","Nitric Oxide and the Autonomic Nervous System","Hypertension","Drug","L-NMMA"
"NCT00000498","Control of Hypertension by Non-Pharmacologic Means","Hypertension","Behavioral","diet, reducing"
"NCT00183768","Cognitive Behavioral Therapy Combined With Antidepressants to Reduce HIV Risk and Drug Relapse Among Depressed Intravenous Drug Users","Depression","Behavioral","Cognitive Behavioral Therapy"
"NCT00667732","How Glargine Insulin, Oral Diabetes Medications and Exenatide May Improve Blood Sugar Control and Weight Gain in Type 2 Diabetics","Type 2 Diabetes","Drug","placebo"
"NCT01848795","EndoBarrier Versus Intragastric Balloon in Obese Diabetic Patients","Type 2 Diabetes","Device","Easy life balloon"
"NCT01275352","CLCNKA (Ka Renal Chloride Channel[ClC-Ka]) Polymorphism Effects on Hypertrophy Regression","Hypertension","Drug","placebo"
"NCT00831194","Stress, Dietary Lapse and Weight Loss Among Adults With Type 2 Diabetes","Type 2 Diabetes","Behavioral","Personalized diet plan and PDA self reporting."
"NCT00934570","Activity and Metformin Intervention in Obese Adolescents","Type 2 Diabetes","Drug","Metformin and standard exercise"
"NCT00257491","Study to Evaluate the Trough and Peak Effect of Once Daily Telmisartan 80 mg/Hydrochlorothiazide 12.5 mg (Micardis Plus) by Ambulatory Blood Pressure Monitoring (ABPM) in Patients With Mild to Moderate Essential Hypertension","Hypertension","Drug","Telmisartan"
"NCT02247414","Warfarin Prevents Portal Vein Thrombosis in Patients After Laparoscopic Splenectomy and Azygoportal Disconnection","Hypertension","Drug","Aspirin"
"NCT04559074","Personalised Electronic Record Supported Optimisation When Alone for Patients With Hypertension- Pilot Study for Remote Medical Management of Hypertension During the COVID-19 Pandemic","Hypertension","Drug","Amlodipine"
"NCT04917393","Multi-Organ Denervation With the iRF System to RedUce Sympathetic Drive","Type 2 Diabetes","Device","iRF System Multi-organ Denervation"
"NCT04752475","Lasix for the Prevention of De Novo Postpartum Hypertension","Hypertension","Drug","Furosemide"
"NCT05211648","COOL-BP Study: Continuous Versus Occasional Blood Pressure Study","Hypertension","Device","Aktiia Bracelet"
"NCT04018586","AVACEN Hand Heating on Fasting Blood Glucose","Hypertension","Device","AVACEN 100"
"NCT03421847","Study of Rotatory Vestibular Tests in Major Depression Patients and Healthy Control Subjects.","Depression","Diagnostic Test","Rotatory vestibular test"
"NCT01089569","Continuous Glucose Monitoring Evaluation of Exenatide Twice Daily Versus Insulin Glargine","Type 2 Diabetes","Drug","Insulin Glargine"
"NCT05388110","SKY Breath Intervention","Depression","Behavioral","SKY Breath Intervention"
"NCT00339833","The Effects of Anti-Inflammatory Treatment on Insulin Resistance in Healthy Volunteers","Type 2 Diabetes","Drug","Salsalate"
"NCT01831895","Controlling and Lowering Blood Pressure With The MOBIUSHD™","Hypertension","Device","MobiusHD™"
"NCT00369538","Specific Blockage of Angiotensine 2 and Podocyturia in Glomerular Nephropathies With Hypertension and Proteinuria","Hypertension","Drug","hydrochlorothiazide, losartan"
"NCT00174876","Aripiprazole as Augmentation for TRD","Depression","Drug","Drug Abilify"
"NCT01466751","Neurobehavioral Intervention as a Novel Treatment Approach for Emotion-Regulatory Deficits","Depression","Behavioral","Computerized Neurobehavioral Intervention"
"NCT00238108","Melatonin Supplements for Improving Sleep in Individuals With Hypertension","Hypertension","Drug","Placebo"
"NCT03000842","Effects of Transcutaneous Vagal Nerve Stimulation on Hemodynamics Parameters","Hypertension","Device","transcutaneous vagal nerve stimulation off"
"NCT04713384","Remote Bimanual Virtual Rehabilitation Post CVD","Depression","Device","Integrative tele-rehalitation of chronic stroke survivors using custom therapeutic games"
"NCT05285085","Real World Evidence Study of Statin Use in Brazil","Hypertension","Drug","Statin"
"NCT05593055","Mineralocorticoid Receptor, Coronary Microvascular Function, and Cardiac Efficiency in Hypertension","Hypertension","Drug","Potassium"
"NCT04583345","Physical Activity Levels of Hypertensive and Healthy Individuals Under Social Isolation During the COVID-19 Pandemic","Hypertension","Behavioral","Questionnaires"
"NCT01876368","Efficacy and Safety of LCZ696 Compared to Olmesartan in Essential Hypertensive Patients Not Responsive to Olmesartan","Hypertension","Drug","LCZ696"
"NCT00772499","Vascular Improvement With Olmesartan Medoxomil Study","Hypertension","Drug","olmesartan medoxomil + hydrochlorothiazide + amlodipine + hydralazine if necessary to control blood pressure"
"NCT01119924","A Clinical Study for Assessment of the Efficacy and Safety of Mirtazapine (Smilon) in Depression Patients With Pain","Depression","Drug","Smilon®"
"NCT01787617","Aerobic Plus Resistance Training and Insulin Sensitivity in African American Men","Type 2 Diabetes","Behavioral","Control Group"
"NCT01527747","Effects of DPP-4 Inhibition on Triglycerides","Type 2 Diabetes","Drug","Saxagliptin"
"NCT02355444","Effects of Blackberry-derived Polyphenols on Cardiovascular Risk in Adults","Hypertension","Dietary Supplement","blackberry polyphenol enriched beverage"
"NCT01257347","Measuring Adherence to Control Hypertension","Hypertension","Behavioral","Disclosure of adherence report to clinician"
"NCT04051320","Characterizing the Neural Substrates of Irritability in Women: an Experimental Neuroendocrine Model","Depression","Drug","Leuprolide Acetate 3.75 MG/ML"
"NCT00451672","The Therapeutic Effect of Bromocriptin in Patients With Primary Aldosteronism","Hypertension","Drug","bromocriptine"
"NCT03603561","Continuous Theta Burst Stimulation as an add-on Treatment for Bipolar Depression","Depression","Device","cTBS"
"NCT01161030","Almonds and Diabetes Management","Type 2 Diabetes","Dietary Supplement","Almonds"
"NCT04373967","Study to Assess the Efficacy and Safety of Liraglutide in the Treatment of Type 2 Diabetes","Type 2 Diabetes","Drug","Metformin Hydrochloride"
"NCT01573130","Treating Depression With Physical Exercise","Depression","Behavioral","Physical exercise program"
"NCT05479435","Comparison Effects Of Different Exercise Approaches On Type 2 DM Women","Type 2 Diabetes","Behavioral","Supervised Group Exercise Program"
"NCT02439775","SPYRAL HTN-ON MED Study","Hypertension","Procedure","Sham Procedure"
"NCT03380091","Metformin, Vitamin D, and Depression in Polycystic Ovary Syndrome (PCOS) Trial","Depression","Drug","Vitamin D"
"NCT00661895","Black Education and Treatment of Hypertension (BEAT HTN)","Hypertension","Drug","Lisinopril"
"NCT00119652","Seroquel in Bipolar Depression Versus SSRI","Depression","Drug","quetiapine fumarate (Seroquel)"
"NCT04999553","Left vs. Right Non-Inferiority Trial","Depression","Device","Repetitive Transcranial Magnetic Stimulation"
"NCT05537246","The Relationship Between Arterial Stiffness and Hemodynamic Responses in Patients With Spinal Anesthesia","Hypertension","Procedure","PWV"
"NCT05450601","A Study to Evaluate the Efficacy and Safety of HCP2102 in Essential Hypertension Patients","Hypertension","Drug","RLD2106-1"
"NCT00594048","The Effects of Device-guided Breathing Exercises on Blood Pressure in Patients With Hypertension","Hypertension","Device","Resperate"
"NCT01169090","A Study Comparing the Safety, Tolerance, and Efficacy of Various Doses of SK-0403 Versus Placebo and Sitagliptin 100 mg in Patients Not Well-Controlled on Metformin Therapy","Type 2 Diabetes","Drug","Placebo"
"NCT05541406","Efficacy of a Multi-level School Intervention for LGBTQ Youth","Depression","Behavioral","Proud & Empowered"
"NCT04974151","China Stroke Primary Prevention Trial for Subjects With Hypertension and MTHFR 677 TT Genotype (CSPPT2-TT)","Hypertension","Drug","5-methyltetrahydrofolate (5-MTHF)"
"NCT03205137","Comparison of the Medication Adherence of Patients Treated With Telmisartan/Hydrochlorothiazide or Telmisartan/Amlodipine Fixed Dose Combination (FDC) Versus Double-pill Combination Therapy in Real-world Japanese Therapeutic Practice","Hypertension","Drug","Subjects treated with Telmisartan and amlodipine"
"NCT00422630","The Metabolic Effects of Different Weight Loss Diets","Hypertension","Behavioral","The low glycemic Index Diet"
"NCT04735042","SGLT-2 and DPP-4 Inhibition, Subclinical Inflammation of the Genito-urinary Tract and Risk of Infections.","Type 2 Diabetes","Drug","Empagliflozin or Dapagliflozin Pill"
"NCT00328666","The Penn Lifestyle Modification and Blood Pressure Study","Hypertension","Behavioral","Iyengar yoga"
"NCT01764295","Clinical Study for Patients With Hypertension Associated With Dyslipidemia","Hypertension","Drug","DWJ1276"
"NCT00281593","Telmisartan (Micardis) and Ramipril (Altace) - Factorial Design Study for the Treatment of Hypertension","Hypertension","Drug","Telmisartan"
"NCT00272402","Reducing Clinical Inertia in Diabetes Care","Hypertension","Behavioral","Cognitive Behavioral Intervention"
"NCT00572520","Effectiveness of Behavioral Treatments for Obesity and Major Depression in Women","Depression","Behavioral","Health education counseling"
"NCT01684748","Angiotensin II Blockade and Inflammation in Obesity","Hypertension","Drug","Olmesartan medoxomil"
"NCT03508739","Glucagon-like Peptide-1 Metabolism and Acute Neprilysin Inhibition","Hypertension","Drug","Sacubitril/Valsartan 200mg (blinded)"
"NCT00913237","To Demonstrate the Relative Bioavailability of Desipramine Hydrochloride 50 mg Tablets","Depression","Drug","Desipramine Hydrochloride 50 mg Tablets (Merrell Dow Pharmaceuticals, Inc)"
"NCT02845037","Tolerability, Pharmacokinetics and Dopamine ß-hydroxylase (DßH) Inhibition Profile of BIA 5-453","Hypertension","Drug","BIA 5-453"
"NCT04586699","Meditation Accelerated Brain Stimulation for Depression","Depression","Device","Medi2TMS"
"NCT00797862","Aliskiren and the Calcium Channel Blocker Amlodipine Combination as an Initial Treatment Strategy for Hypertension","Hypertension","Drug","Aliskiren"
"NCT00730951","The Evaluation and Standardization of Ginseng and Its Components for Blood Pressure Regulation","Hypertension","Dietary Supplement","Corn Starch"
"NCT00886600","A Study to Investigate the Magnitude and Duration of Response of MK0954 Compared to Placebo in Patients With Hypertension (0954-021)(COMPLETED)","Hypertension","Drug","hydrochlorothiazide (HCTZ)"
"NCT02177448","BIBR 277 Capsule in Patients With Essential Hypertension","Hypertension","Drug","BIBR277 low dose"
"NCT01974544","Prevention and Treatment Of Diabetes Complications With Gastric Surgery or Intensive Medicines","Type 2 Diabetes","Drug","General interventions for all groups: blood presure"
"NCT01845831","Sitagliptin Therapy in Hospitalized Patients With Type 2 Diabetes","Type 2 Diabetes","Drug","Metformin and Sitagliptin"
"NCT00496834","LAAS (Losartan Anti-Atherosclerosis Study)(0954-330)(COMPLETED)","Hypertension","Drug","Comparator: carvedilol (+) hydrochlorothiazide"
"NCT00628212","Efficacy and Safety Study of MP-513 in Patients With Type 2 Diabetes","Type 2 Diabetes","Drug","Teneligliptin 20 mg"
"NCT00177398","Effect of Glargine Insulin on Glucose Control in Hospitalized Patients Who Receive Tube Feedings","Type 2 Diabetes","Drug","Glargine insulin vs regular insulin"
"NCT03667781","Therapeutic Drug Monitoring of Cardiac Medications","Hypertension","Diagnostic Test","Therapeutic drug monitoring"
"NCT00786019","Influence of Endothelial Function on Central and Peripheral Causes Of Exercise Impairment in Type 2 Diabetes","Type 2 Diabetes","Behavioral","Exercise program"
"NCT00338338","The Efficacy And Safety Of Lacidipine And Amlodipine Once-Daily Treatment In Hypertensive Adult Patients","Hypertension","Drug","Lacidipine 4 or 6 mg (oral)"
"NCT01757587","Galvus (Vildagliptin) vs Placebo in Combination With Metformin and Insulin","Type 2 Diabetes","Drug","Placebo"
"NCT03100279","Process and Outcomes in CBT for Anxious and Depressed Youth","Depression","Behavioral","Primary and Secondary Coping Enhancement Therapy"
"NCT00183469","Maintenance Treatment of Bipolar Depression","Depression","Drug","Divalproex (DIV) ER"
"NCT01474161","Comparative Bioavailability - Gender Effect - Single and Multiple Ascending Dose Safety and Pharmacokinetic Study of GFT505","Type 2 Diabetes","Drug","GFT505 240mg - new formulation"
"NCT00000557","Enhancing Recovery in Coronary Heart Disease (ENRICHD) Patients","Depression","Behavioral","social support"
"NCT03373110","Healthy Hearts Healthy Minds","Depression","Behavioral","Online Cognitive Behavioral Therapy"
"NCT00982293","The Application of Extremely Low Level Magnetic Fields as Adjunctive Treatment for Type II Diabetes","Type 2 Diabetes","Device","Resonator device"
